ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
MAPK3,protein,P27361,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,2020-06-16
BRD4,protein,O60885,UNIPROT,phosphorylation,MYC,protein,P01106,UNIPROT,P01106,2020-06-16
MAPK1,protein,P28482,UNIPROT,phosphorylation,PFAS,protein,O15067,UNIPROT,O15067,2020-06-18
PRKD1,protein,Q15139,UNIPROT,phosphorylation,FAM83G,protein,A6ND36,UNIPROT,A6ND36,2020-06-18
TNKS2,protein,Q9H2K2,UNIPROT,binding,TARDBP,protein,Q13148,UNIPROT,Q13148,2020-06-23
TNKS,protein,O95271,UNIPROT,binding,TARDBP,protein,Q13148,UNIPROT,Q13148,2020-06-23
CAMK4,protein,Q16566,UNIPROT,phosphorylation,NOVA2,protein,Q9UNW9,UNIPROT,Q9UNW9,2020-06-25
CAMK4,protein,Q16566,UNIPROT,phosphorylation,NOVA2,protein,Q9UNW9,UNIPROT,Q9UNW9,2020-06-25
CAMK4,protein,Q16566,UNIPROT,phosphorylation,NOVA2,protein,Q9UNW9,UNIPROT,Q9UNW9,2020-06-25
PRKCZ,protein,Q05513,UNIPROT,phosphorylation,PLA2G4A,protein,P47712,UNIPROT,P47712,2020-06-25
CDC25C,protein,P30307,UNIPROT,dephosphorylation,MAP3K5,protein,Q99683,UNIPROT,Q99683,2020-06-03
EIF2AK4,protein,Q9P2K8,UNIPROT,phosphorylation,EIF2S1,protein,P05198,UNIPROT,P05198,2020-06-08
PIK3R3,protein,Q92569,UNIPROT,binding,TP53,protein,P04637,UNIPROT,P04637,2020-06-08
HYDIN,protein,Q4G0P3,UNIPROT,transcriptional_regulation,GATA4,protein,P43694,UNIPROT,P43694,2020-06-01
Tocilizumab,antibody,DB06273,DRUGBANK,binding,IL6R,protein,P08887,UNIPROT,P08887,2020-06-01
IL1B,protein,P01584,UNIPROT,transcriptional_regulation,IL6,protein,P05231,UNIPROT,P05231,2020-06-01
TNF,protein,P01375,UNIPROT,transcriptional_regulation,IL6,protein,P05231,UNIPROT,P05231,2020-06-01
GPC6,protein,Q9Y625,UNIPROT,binding,SHH,protein,Q15465,UNIPROT,Q15465,2020-06-01
GPC6,protein,Q9Y625,UNIPROT,binding,PTCH1,protein,Q13635,UNIPROT,Q13635,2020-06-01
GPC6,protein,Q9Y625,UNIPROT,binding,WNT5A,protein,P41221,UNIPROT,P41221,2020-06-01
CUL3,protein,Q13618,UNIPROT,binding,LZTR1,protein,Q8N653,UNIPROT,Q8N653,2020-03-01
chloroquine,chemical,CHEBI:3638,ChEBI,chemical_inhibition,ACE2,protein,Q9BYF1,UNIPROT,Q9BYF1,2020-03-01
PTPN11,protein,Q06124,UNIPROT,dephosphorylation,GRIN2B,protein,Q13224,UNIPROT,Q13224,2020-03-01
LZTR1,protein,Q8N653,UNIPROT,ubiquitination,KRAS,protein,P01116,UNIPROT,P01116,2020-03-01
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,BTRC,protein,Q9Y297,UNIPROT,Q9Y297,2020-03-01
FBXW11,protein,Q9UKB1,UNIPROT,binding,BTRC,protein,Q9Y297,UNIPROT,Q9Y297,2020-03-01
EIF2AK2,protein,P19525,UNIPROT,phosphorylation,KDM4C,protein,Q9H3R0,UNIPROT,Q9H3R0,2020-03-01
CDK18,protein,Q07002,UNIPROT,phosphorylation,AQP2,protein,P41181,UNIPROT,P41181,2020-03-10
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,CREB3,protein,O43889,UNIPROT,O43889,2020-03-12
PTPN11,protein,Q06124,UNIPROT,dephosphorylation,ERBB2,protein,P04626,UNIPROT,P04626,2020-03-13
ZBP1,protein,Q9H171,UNIPROT,binding,RIPK3,protein,Q9Y572,UNIPROT,Q9Y572,2020-03-19
CAMK2B,protein,Q13554,UNIPROT,phosphorylation,RETREG1,protein,Q9H6L5,UNIPROT,Q9H6L5,2020-03-02
CDK1,protein,P06493,UNIPROT,phosphorylation,TERT,protein,O14746,UNIPROT,O14746,2020-03-25
DHPS,protein,P49366,UNIPROT,post_translational_modification,EIF5A,protein,P63241,UNIPROT,P63241,2020-03-26
KLHL42,protein,Q9P2K6,UNIPROT,polyubiquitination,PPP2R5E,protein,Q16537,UNIPROT,Q16537,2020-03-27
IKBKB,protein,O14920,UNIPROT,phosphorylation,COPS5,protein,Q92905,UNIPROT,Q92905,2020-03-06
CHUK,protein,O15111,UNIPROT,phosphorylation,COPS5,protein,Q92905,UNIPROT,Q92905,2020-03-06
DCAF4,protein,Q8WV16,UNIPROT,binding,OPTN,protein,Q96CV9,UNIPROT,Q96CV9,2020-03-06
IKBKB,protein,O14920,UNIPROT,phosphorylation,COPS5,protein,Q92905,UNIPROT,Q92905,2020-03-06
CHUK,protein,O15111,UNIPROT,phosphorylation,COPS5,protein,Q92905,UNIPROT,Q92905,2020-03-06
SNX5,protein,Q9Y5X3,UNIPROT,binding,IGF2R,protein,P11717,UNIPROT,P11717,2020-03-09
SNX5,protein,Q9Y5X3,UNIPROT,binding,IGF1R,protein,P08069,UNIPROT,P08069,2020-03-09
USP9X,protein,Q93008,UNIPROT,deubiquitination,WT1,protein,P19544,UNIPROT,P19544,2020-03-09
SNX6,protein,Q9UNH7,UNIPROT,binding,IGF2R,protein,P11717,UNIPROT,P11717,2020-03-09
SNX6,protein,Q9UNH7,UNIPROT,binding,IGF1R,protein,P08069,UNIPROT,P08069,2020-03-09
CDC14B,protein,O60729,UNIPROT,dephosphorylation,USP9X,protein,Q93008,UNIPROT,Q93008,2020-03-09
CDK1,protein,P06493,UNIPROT,phosphorylation,USP9X,protein,Q93008,UNIPROT,Q93008,2020-03-09
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3-4,protein,Q16695,UNIPROT,Q16695,2020-05-01
SATB2,protein,Q9UPW6,UNIPROT,transcriptional_regulation,NR4A2,protein,P43354,UNIPROT,P43354,2020-05-01
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3-3A,protein,P84243,UNIPROT,P84243,2020-05-01
BZW2,protein,Q9Y6E2,UNIPROT,binding,EIF2S1,protein,P05198,UNIPROT,P05198,2020-05-01
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3C1,protein,P68431,UNIPROT,P68431,2020-05-01
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3-5,protein,Q6NXT2,UNIPROT,Q6NXT2,2020-05-01
GPAA1,protein,O43292,UNIPROT,transcriptional_regulation,MYC,protein,P01106,UNIPROT,P01106,2020-05-01
FYN,protein,P06241,UNIPROT,phosphorylation,BSG,protein,P35613-2,UNIPROT,P35613-2,2020-05-01
SRC,protein,P12931,UNIPROT,phosphorylation,BCKDK,protein,O14874,UNIPROT,O14874,2020-05-01
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3C15,protein,Q71DI3,UNIPROT,Q71DI3,2020-05-01
BZW2,protein,Q9Y6E2,UNIPROT,transcriptional_regulation,ATF4,protein,P18848,UNIPROT,P18848,2020-05-01
FYN,protein,P06241,UNIPROT,phosphorylation,BSG,protein,P35613-2,UNIPROT,P35613-2,2020-05-01
BAZ2B,protein,Q9UIF8,UNIPROT,binding,H3-2,protein,Q5TEC6,UNIPROT,Q5TEC6,2020-05-01
BZW2,protein,Q9Y6E2,UNIPROT,binding,EIF3A,protein,Q14152,UNIPROT,Q14152,2020-05-01
SRC,protein,P12931,UNIPROT,phosphorylation,BCKDK,protein,O14874,UNIPROT,O14874,2020-05-01
GFAP,protein,P14136,UNIPROT,binding,ACTB,protein,P60709,UNIPROT,P60709,2020-05-01
SATB2,protein,Q9UPW6,UNIPROT,transcriptional_regulation,BCL11B,protein,Q9C0K0,UNIPROT,Q9C0K0,2020-05-01
TMPRSS4,protein,Q9NRS4,UNIPROT,cleavage,S,protein,P0DTC2,UNIPROT,P0DTC2,2020-05-13
TMPRSS4,protein,Q9NRS4,UNIPROT,cleavage,S,protein,P0DTC2,UNIPROT,P0DTC2,2020-05-13
MAP3K7,protein,O43318,UNIPROT,phosphorylation,RAB8A,protein,P61006,UNIPROT,P61006,2020-05-15
LRRK2,protein,Q5S007,UNIPROT,phosphorylation,RAB8A,protein,P61006,UNIPROT,P61006,2020-05-15
MIPOL1,protein,Q8TD10,UNIPROT,binding,RHOB,protein,P62745,UNIPROT,P62745,2020-05-15
STK24,protein,Q9Y6E0,UNIPROT,phosphorylation,RAB8A,protein,P61006,UNIPROT,P61006,2020-05-15
CDK12,protein,Q9NYV4,UNIPROT,phosphorylation,PAK2,protein,Q13177,UNIPROT,Q13177,2020-05-15
CDK12,protein,Q9NYV4,UNIPROT,phosphorylation,PAK2,protein,Q13177,UNIPROT,Q13177,2020-05-15
P4HB,protein,P07237,UNIPROT,binding,ERN1,protein,O75460,UNIPROT,O75460,2020-05-18
FAM20C,protein,Q8IXL6,UNIPROT,phosphorylation,P4HB,protein,P07237,UNIPROT,P07237,2020-05-18
CHEK2,protein,O96017,UNIPROT,phosphorylation,BECN1,protein,Q14457,UNIPROT,Q14457,2020-05-18
CHEK2,protein,O96017,UNIPROT,phosphorylation,BECN1,protein,Q14457,UNIPROT,Q14457,2020-05-18
KLHL12,protein,Q53G59,UNIPROT,binding,LNPK,protein,Q9C0E8,UNIPROT,Q9C0E8,2020-05-19
FURIN,protein,P09958,UNIPROT,cleavage,S,protein,P0DTC2,UNIPROT,P0DTC2,2020-05-21
FURIN,protein,P09958,UNIPROT,cleavage,S,protein,P0DTC2,UNIPROT,P0DTC2,2020-05-21
ZMYM2,protein,Q9UBW7,UNIPROT,binding,MYBL2,protein,P10244,UNIPROT,P10244,2020-05-21
FILIP1L,protein,Q4L180,UNIPROT,binding,FLNC,protein,Q14315,UNIPROT,Q14315,2020-05-22
PRKCA,protein,P17252,UNIPROT,phosphorylation,FLNC,protein,Q14315,UNIPROT,Q14315,2020-05-22
AURKA,protein,O14965,UNIPROT,phosphorylation,SOX8,protein,P57073,UNIPROT,P57073,2020-05-25
SOX8,protein,P57073,UNIPROT,transcriptional_regulation,FOXK2,protein,Q01167,UNIPROT,Q01167,2020-05-25
ROCK2,protein,O75116,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKCE,protein,Q02156,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
ROCK2,protein,O75116,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKCA,protein,P17252,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKCA,protein,P17252,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKCZ,protein,Q05513,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKD1,protein,Q15139,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
PRKD1,protein,Q15139,UNIPROT,phosphorylation,PPP1R14A,protein,Q96A00,UNIPROT,Q96A00,2020-05-27
RANBP2,protein,P49792,UNIPROT,binding,TNPO1,protein,Q92973,UNIPROT,Q92973,2020-05-04
NEK2,protein,P51955,UNIPROT,phosphorylation,GAS2L1,protein,Q99501,UNIPROT,Q99501,2020-05-04
LYN,protein,P07948,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
SRC,protein,P12931,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
SRC,protein,P12931,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
SRC,protein,P12931,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
SRC,protein,P12931,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
LYN,protein,P07948,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
LYN,protein,P07948,UNIPROT,phosphorylation,ACLY,protein,P53396,UNIPROT,P53396,2020-05-07
bisphenol F,chemical,CHEBI:34575,ChEBI,chemical_activation,ESR1,protein,P03372,UNIPROT,P03372,2020-05-01
bisphenol A,chemical,CHEBI:33216,ChEBI,chemical_activation,AHR,protein,P35869,UNIPROT,P35869,2020-05-01
"4,4'-sulfonyldiphenol",chemical,CHEBI:34372,ChEBI,chemical_inhibition,AR,protein,P10275,UNIPROT,P10275,2020-05-01
bisphenol F,chemical,CHEBI:34575,ChEBI,chemical_inhibition,AR,protein,P10275,UNIPROT,P10275,2020-05-01
bisphenol A,chemical,CHEBI:33216,ChEBI,chemical_activation,ESR1,protein,P03372,UNIPROT,P03372,2020-05-01
bisphenol A,chemical,CHEBI:33216,ChEBI,chemical_inhibition,AR,protein,P10275,UNIPROT,P10275,2020-05-01
"4,4'-sulfonyldiphenol",chemical,CHEBI:34372,ChEBI,chemical_activation,ESR1,protein,P03372,UNIPROT,P03372,2020-05-01
"4,4'-sulfonyldiphenol",chemical,CHEBI:34372,ChEBI,chemical_activation,AHR,protein,P35869,UNIPROT,P35869,2020-05-01
bisphenol F,chemical,CHEBI:34575,ChEBI,chemical_activation,AHR,protein,P35869,UNIPROT,P35869,2020-05-01
CDK1,protein,P06493,UNIPROT,phosphorylation,PKN1,protein,Q16512,UNIPROT,Q16512,2020-05-01
CDK1,protein,P06493,UNIPROT,phosphorylation,PKN1,protein,Q16512,UNIPROT,Q16512,2020-05-01
CDK1,protein,P06493,UNIPROT,phosphorylation,PKN1,protein,Q16512,UNIPROT,Q16512,2020-05-01
CDK1,protein,P06493,UNIPROT,phosphorylation,PKN1,protein,Q16512,UNIPROT,Q16512,2020-05-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM2B,protein,Q8NHM5,UNIPROT,Q8NHM5,2020-11-01
ME1,protein,P48163,UNIPROT,chemical_modification,pyruvate,smallmolecule,CHEBI:15361,ChEBI,CHEBI:15361,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM5C,protein,P41229,UNIPROT,P41229,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM5C,protein,P41229,UNIPROT,P41229,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM6B,protein,O15054,UNIPROT,O15054,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM2A,protein,Q9Y2K7,UNIPROT,Q9Y2K7,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM7A,protein,Q6ZMT4,UNIPROT,Q6ZMT4,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM5B,protein,Q9UGL1,UNIPROT,Q9UGL1,2020-11-01
ME1,protein,P48163,UNIPROT,chemical_modification,NADP(3-),smallmolecule,CHEBI:58349,ChEBI,CHEBI:58349,2020-11-01
ANK3,protein,Q12955,UNIPROT,binding,GABARAP,protein,O95166,UNIPROT,O95166,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM1A,protein,O60341,UNIPROT,O60341,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM1A,protein,O60341,UNIPROT,O60341,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM3A,protein,Q9Y4C1,UNIPROT,Q9Y4C1,2020-11-01
(S)-malate(2-),smallmolecule,CHEBI:15589,ChEBI,precursor_of,pyruvate,smallmolecule,CHEBI:15361,ChEBI,CHEBI:15361,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM2A,protein,Q9Y2K7,UNIPROT,Q9Y2K7,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM2B,protein,Q8NHM5,UNIPROT,Q8NHM5,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM7A,protein,Q6ZMT4,UNIPROT,Q6ZMT4,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM4C,protein,Q9H3R0,UNIPROT,Q9H3R0,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM5B,protein,Q9UGL1,UNIPROT,Q9UGL1,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM3A,protein,Q9Y4C1,UNIPROT,Q9Y4C1,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM6B,protein,O15054,UNIPROT,O15054,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM4C,protein,Q9H3R0,UNIPROT,Q9H3R0,2020-11-01
NADP(3-),smallmolecule,CHEBI:58349,ChEBI,precursor_of,NADPH(4-),smallmolecule,CHEBI:57783,ChEBI,CHEBI:57783,2020-11-01
NALCN,protein,Q8IZF0,UNIPROT,relocalization,sodium(1+),chemical,CHEBI:29101,ChEBI,CHEBI:29101,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM4B,protein,O94953,UNIPROT,O94953,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM5A,protein,P29375,UNIPROT,P29375,2020-11-01
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,KDM4B,protein,O94953,UNIPROT,O94953,2020-11-01
ME1,protein,P48163,UNIPROT,chemical_modification,(S)-malate(2-),smallmolecule,CHEBI:15589,ChEBI,CHEBI:15589,2020-11-01
EPAS1,protein,Q99814,UNIPROT,transcriptional_regulation,KDM5A,protein,P29375,UNIPROT,P29375,2020-11-01
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,DRAM1,protein,Q8N682,UNIPROT,Q8N682,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFB10,protein,O96000,UNIPROT,O96000,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,ACACB,protein,O00763,UNIPROT,O00763,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,BLOC1S3,protein,Q6QNY0,UNIPROT,Q6QNY0,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,ANKFY1,protein,Q9P2R3,UNIPROT,Q9P2R3,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,APOA4,protein,P06727,UNIPROT,P06727,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,CALCOCO1,protein,Q9P1Z2,UNIPROT,Q9P1Z2,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFA1,protein,O15239,UNIPROT,O15239,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,ACOT2,protein,P49753,UNIPROT,P49753,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFAF2,protein,Q8N183,UNIPROT,Q8N183,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,BLOC1S2,protein,Q6QNY1,UNIPROT,Q6QNY1,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFS4,protein,O43181,UNIPROT,O43181,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,PPARG,protein,P37231,UNIPROT,P37231,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFA8,protein,P51970,UNIPROT,P51970,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,CD36,protein,P16671,UNIPROT,P16671,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,NDUFA13,protein,Q9P0J0,UNIPROT,Q9P0J0,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,CYP17A1,protein,P05093,UNIPROT,P05093,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,CYP7A1,protein,P22680,UNIPROT,P22680,2020-11-10
TFEB,protein,P19484,UNIPROT,transcriptional_regulation,PPARA,protein,Q07869,UNIPROT,Q07869,2020-11-10
Upadacitinib,chemical,CID:58557659,PUBCHEM,binding,JAK1,protein,P23458,UNIPROT,P23458,2020-11-16
EGFR,protein,P00533,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
FLT1,protein,P17948,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
GATA2,protein,P23769,UNIPROT,transcriptional_regulation,TRH,protein,P20396,UNIPROT,P20396,2020-11-17
PDGFRB,protein,P09619,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
SRC,protein,P12931,UNIPROT,phosphorylation,LPIN1,protein,Q14693,UNIPROT,Q14693,2020-11-17
GATA2,protein,P23769,UNIPROT,transcriptional_regulation,TRH,protein,P20396,UNIPROT,P20396,2020-11-17
SRC,protein,P12931,UNIPROT,phosphorylation,LPIN1,protein,Q14693,UNIPROT,Q14693,2020-11-17
FLT1,protein,P17948,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
FLT1,protein,P17948,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
EGFR,protein,P00533,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
PDGFRB,protein,P09619,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
PDGFRB,protein,P09619,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
SRC,protein,P12931,UNIPROT,phosphorylation,LPIN1,protein,Q14693,UNIPROT,Q14693,2020-11-17
EGFR,protein,P00533,UNIPROT,phosphorylation,GNAI1,protein,P63096,UNIPROT,P63096,2020-11-17
MAPK3,protein,P27361,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
MAPK1,protein,P28482,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
MAPK3,protein,P27361,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
MAPK3,protein,P27361,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
MAPK1,protein,P28482,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
PINK1,protein,Q9BXM7,UNIPROT,phosphorylation,TUFM,protein,P49411,UNIPROT,P49411,2020-11-19
MAPK1,protein,P28482,UNIPROT,phosphorylation,METTL3,protein,Q86U44,UNIPROT,Q86U44,2020-11-19
TUFM,protein,P49411,UNIPROT,binding,ATG5,protein,Q9H1Y0,UNIPROT,Q9H1Y0,2020-11-19
LY2603618,chemical,CID:11955855,PUBCHEM,chemical_inhibition,CHEK1,protein,O14757,UNIPROT,O14757,2020-11-27
TRIP13,protein,Q15645,UNIPROT,binding,EGFR,protein,P00533,UNIPROT,P00533,2020-11-28
EGFR,protein,P00533,UNIPROT,phosphorylation,TRIP13,protein,Q15645,UNIPROT,Q15645,2020-11-28
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,PHF8,protein,Q9UPP1,UNIPROT,Q9UPP1,2020-11-04
CHEK1,protein,O14757,UNIPROT,phosphorylation,PABIR1,protein,Q96E09,UNIPROT,Q96E09,2020-11-05
PPP2R2A,protein,P63151,UNIPROT,dephosphorylation,WEE1,protein,P30291,UNIPROT,P30291,2020-11-05
D-glucitol,smallmolecule,CHEBI:17924,ChEBI,relocalization,FUS,protein,P35637,UNIPROT,P35637,2020-11-06
D-glucitol,smallmolecule,CHEBI:17924,ChEBI,relocalization,TARDBP,protein,Q13148,UNIPROT,Q13148,2020-11-06
D-glucitol,smallmolecule,CHEBI:17924,ChEBI,relocalization,HNRNPA1,protein,P09651,UNIPROT,P09651,2020-11-06
PRKDC,protein,P78527,UNIPROT,phosphorylation,PRKAG1,protein,P54619,UNIPROT,P54619,2020-10-01
Adalimumab (Imraldi),antibody,DB00051,DRUGBANK,binding,TNF,protein,P01375,UNIPROT,P01375,2020-10-01
GSK3B,protein,P49841,UNIPROT,phosphorylation,SCN2A,protein,Q99250,UNIPROT,Q99250,2020-10-01
PRKDC,protein,P78527,UNIPROT,phosphorylation,PRKAG1,protein,P54619,UNIPROT,P54619,2020-10-01
PRKDC,protein,P78527,UNIPROT,phosphorylation,IKBKG,protein,Q9Y6K9,UNIPROT,Q9Y6K9,2020-10-01
GSK3B,protein,P49841,UNIPROT,phosphorylation,FGF14,protein,Q92915,UNIPROT,Q92915,2020-10-01
JAK2,protein,O60674,UNIPROT,phosphorylation,FGF14,protein,Q92915,UNIPROT,Q92915,2020-10-01
KAT2B,protein,Q92831,UNIPROT,acetylation,GLI1,protein,P08151,UNIPROT,P08151,2020-10-01
STYK1,protein,Q6J9G0,UNIPROT,phosphorylation,BECN1,protein,Q14457,UNIPROT,Q14457,2020-10-01
6,protein,P59634,UNIPROT,binding,NUP98,protein,P52948,UNIPROT,P52948,2020-10-01
NR3C1,protein,P04150,UNIPROT,relocalization,KAT2B,protein,Q92831,UNIPROT,Q92831,2020-10-01
SHMT1,protein,P34896,UNIPROT,chemical_modification,"(6R)-5,10-methylenetetrahydrofolate(2-)",smallmolecule,CHEBI:15636,ChEBI,CHEBI:15636,2020-10-01
CSNK1G1,protein,Q9HCP0,UNIPROT,phosphorylation,LYN,protein,P07948,UNIPROT,P07948,2020-10-01
CSNK1G3,protein,Q9Y6M4,UNIPROT,phosphorylation,LYN,protein,P07948,UNIPROT,P07948,2020-10-01
"(6S)-5,6,7,8-tetrahydrofolate(2-)",smallmolecule,CHEBI:57453,ChEBI,precursor_of,"(6R)-5,10-methylenetetrahydrofolate(2-)",smallmolecule,CHEBI:15636,ChEBI,CHEBI:15636,2020-10-01
CSNK1G2,protein,P78368,UNIPROT,phosphorylation,LYN,protein,P07948,UNIPROT,P07948,2020-10-01
SHMT2,protein,P34897,UNIPROT,chemical_modification,"(6R)-5,10-methylenetetrahydrofolate(2-)",smallmolecule,CHEBI:15636,ChEBI,CHEBI:15636,2020-10-01
SHMT1,protein,P34896,UNIPROT,chemical_modification,glycine,smallmolecule,CHEBI:15428,ChEBI,CHEBI:15428,2020-10-01
SHMT2,protein,P34897,UNIPROT,chemical_modification,glycine,smallmolecule,CHEBI:15428,ChEBI,CHEBI:15428,2020-10-01
L-serine,chemical,CHEBI:17115,ChEBI,precursor_of,glycine,smallmolecule,CHEBI:15428,ChEBI,CHEBI:15428,2020-10-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,E2F1,protein,Q01094,UNIPROT,Q01094,2020-10-13
PRKACA,protein,P17612,UNIPROT,phosphorylation,E2F1,protein,Q01094,UNIPROT,Q01094,2020-10-13
PRKACA,protein,P17612,UNIPROT,phosphorylation,E2F1,protein,Q01094,UNIPROT,Q01094,2020-10-13
PRKAA2,protein,P54646,UNIPROT,phosphorylation,PDHA1,protein,P08559,UNIPROT,P08559,2020-10-15
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,PDHA1,protein,P08559,UNIPROT,P08559,2020-10-15
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,PDHA1,protein,P08559,UNIPROT,P08559,2020-10-15
PRKAA2,protein,P54646,UNIPROT,phosphorylation,PDHA1,protein,P08559,UNIPROT,P08559,2020-10-15
PKN3,protein,Q6P5Z2,UNIPROT,phosphorylation,ARHGAP18,protein,Q8N392,UNIPROT,Q8N392,2020-10-20
